timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1590672056797,2103,GetAllClients,200,OK,Baseline performance Test 1-7,text,true,,7139,610,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,877,0,75
1590672056797,877,GetAllClients-0,302,Found,Baseline performance Test 1-7,,true,,280,305,1,1,http://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,877,0,75
1590672057676,1224,GetAllClients-1,200,OK,Baseline performance Test 1-7,text,true,,6859,305,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,1224,0,753
1590672085117,1596,Authentication,200,OK,Baseline performance Test 1-8,text,true,,477,577,1,1,https://iam-client-test.eu-west.philips-healthsuite.com/authorize/oauth2/token,1596,0,711
1590672086715,2660,GetAllClients,200,OK,Baseline performance Test 1-8,text,true,,7139,610,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,692,0,3
1590672086715,692,GetAllClients-0,302,Found,Baseline performance Test 1-8,,true,,280,305,1,1,http://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,692,0,3
1590672087409,1966,GetAllClients-1,200,OK,Baseline performance Test 1-8,text,true,,6859,305,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,1966,0,874
1590672115119,1704,Authentication,200,OK,Baseline performance Test 1-9,text,true,,477,577,1,1,https://iam-client-test.eu-west.philips-healthsuite.com/authorize/oauth2/token,1704,0,868
1590672116826,2594,GetAllClients,200,OK,Baseline performance Test 1-9,text,true,,7139,610,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,742,0,2
1590672116826,742,GetAllClients-0,302,Found,Baseline performance Test 1-9,,true,,280,305,1,1,http://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,742,0,2
1590672117569,1851,GetAllClients-1,200,OK,Baseline performance Test 1-9,text,true,,6859,305,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,1851,0,780
1590672145118,1534,Authentication,200,OK,Baseline performance Test 1-10,text,true,,477,577,1,1,https://iam-client-test.eu-west.philips-healthsuite.com/authorize/oauth2/token,1534,0,690
1590672146654,2759,GetAllClients,200,OK,Baseline performance Test 1-10,text,true,,7139,610,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,823,0,3
1590672146654,823,GetAllClients-0,302,Found,Baseline performance Test 1-10,,true,,280,305,1,1,http://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,823,0,3
1590672147478,1935,GetAllClients-1,200,OK,Baseline performance Test 1-10,text,true,,6859,305,1,1,https://mcsqa4-selfservice-portal.eu1.phsdp.com/connect/mcscontrol/Client?sortOrder=descending&page=1&size=10,1935,0,838
